,Afghanistan,3277000.0
,Albania,895350.0
,Algeria,3354000.0
,Andorra,53998.0
,Angola,5172900.0
,Antigua and Barbuda,97929
,Argentina,12795000.0
,Armenia,1102000.0
Australian Capital Territory,Australia,327700.0
New South Wales,Australia,4630000.0
Northern Territory,Australia,93080.0
Queensland,Australia,1860000.0
South Australia,Australia,1145000.0
Tasmania,Australia,80870.0
Victoria,Australia,4170000.0
Western Australia,Australia,1532000.0
,Austria,2400000.0
,Azerbaijan,2122300.0
,Bahamas,393244
,Bahrain,563920.0
,Bangladesh,12797394.0
,Barbados,191152.0
,Belarus,1805000.0
,Belgium,1743000.0
,Benin,762000.0
,Bhutan,98676.0
,Bolivia,2102998.0
,Bosnia and Herzegovina,3280819
,Brazil,18845000.0
,Brunei,296500.0
,Bulgaria,1185000.0
,Burkina Faso,1149000.0
,Cabo Verde,113364.0
,Cambodia,1466000.0
,Cameroon,1906000.0
Alberta,Canada,1110000.0
British Columbia,Canada,2313328.0
Grand Princess,Canada,37742154
Manitoba,Canada,632063.0
New Brunswick,Canada,90635.0
Newfoundland and Labrador,Canada,131469.0
Nova Scotia,Canada,359111.0
Ontario,Canada,5213000.0
Prince Edward Island,Canada,42402.0
Quebec,Canada,37742154
Saskatchewan,Canada,198958.0
,Central African Republic,831925.0
,Chad,989000.0
,Chile,5720000.0
Anhui,China,2035000.0
Beijing,China,11106000.0
Chongqing,China,6461000.0
Fujian,China,3531147.0
Gansu,China,2561000.0
Guangdong,China,8829000.0
Guangxi,China,3830000.0
Guizhou,China,3662000.0
Hainan,China,2046189.0
Hebei,China,2417000.0
Heilongjiang,China,3621000.0
Henan,China,2636000.0
Hong Kong,China,1439323776
Hubei,China,7243000.0
Hunan,China,2604000.0
Inner Mongolia,China,2036000.0
Jiangsu,China,3679000.0
Jiangxi,China,2350000.0
Jilin,China,3183000.0
Liaoning,China,4787000.0
Macau,China,1439323776
Ningxia,China,991000.0
Qinghai,China,1048000.0
Shaanxi,China,4009000.0
Shandong,China,3061000.0
Shanghai,China,14987000.0
Shanxi,China,2913000.0
Sichuan,China,4123000.0
Tianjin,China,7180000.0
Tibet,China,219599.0
Xinjiang,China,2151000.0
Yunnan,China,2931000.0
Zhejiang,China,3007000.0
,Colombia,7772000.0
,Congo (Brazzaville),1355000.0
,Congo (Kinshasa),7843000.0
,Costa Rica,1284000.0
,Cote d'Ivoire,26378274
,Croatia,722526.0
,Diamond Princess,3711
,Cuba,2174000.0
,Cyprus,224300.0
,Czechia,1162000.0
Faroe Islands,Denmark,5792202
Greenland,Denmark,5792202
,Denmark,1085000.0
,Djibouti,923000.0
,Dominican Republic,2154000.0
,Ecuador,2514000.0
,Egypt,11893000.0
,El Salvador,1433000.0
,Equatorial Guinea,155963.0
,Eritrea,620802.0
,Estonia,394024.0
,Eswatini,1160164
,Ethiopia,3100000.0
,Fiji,175399.0
,Finland,1115000.0
French Guiana,France,65273511
French Polynesia,France,65273511
Guadeloupe,France,65273511
Mayotte,France,65273511
New Caledonia,France,65273511
Reunion,France,65273511
Saint Barthelemy,France,65273511
St Martin,France,65273511
Martinique,France,65273511
,France,9904000.0
,Gabon,578156.0
,Gambia,2416668
,Georgia,1100000.0
,Germany,3406000.0
,Ghana,2121000.0
,Greece,3242000.0
,Guatemala,1024000.0
,Guinea,1494000.0
,Guyana,264350.0
,Haiti,1998000.0
,Holy See,801
,Honduras,946000.0
,Hungary,1679000.0
,Iceland,166212.0
,India,18978000.0
,Indonesia,9125000.0
,Iran,7873000.0
,Iraq,5054000.0
,Ireland,1059000.0
,Israel,3112000.0
,Italy,3339000.0
,Jamaica,937700.0
,Japan,35676000.0
,Jordan,1060000.0
,Kazakhstan,1209000.0
,Kenya,3010000.0
,Korea, South,9796000.0
,Kuwait,2063000.0
,Kyrgyzstan,837000.0
,Latvia,742572.0
,Lebanon,1846000.0
,Liberia,1041000.0
,Liechtenstein,36281.0
,Lithuania,542366.0
,Luxembourg,107260.0
,Madagascar,1697000.0
,Malaysia,2500000.0
,Maldives,112927.0
,Malta,368250.0
,Mauritania,742144.0
,Mauritius,595491.0
,Mexico,19028000.0
,Moldova,688134.0
,Monaco,36371.0
,Mongolia,885000.0
,Montenegro,145850.0
,Morocco,3181000.0
,Namibia,268132.0
,Nepal,895000.0
Aruba,Netherlands,17134872
Curacao,Netherlands,17134872
Sint Maarten,Netherlands,17134872
,Netherlands,1406000.0
,New Zealand,1377200.0
,Nicaragua,920000.0
,Niger,915000.0
,Nigeria,9466000.0
,North Macedonia,2083374
,Norway,835000.0
,Oman,734697.0
,Pakistan,12130000.0
,Panama,1281000.0
,Papua New Guinea,283733.0
,Paraguay,1870000.0
,Peru,8012000.0
,Philippines,11100000.0
,Poland,2746000.0
,Portugal,2812000.0
,Qatar,1450000.0
,Romania,1942000.0
,Russia,10452000.0
,Rwanda,860000.0
,Saint Lucia,37963.0
,Saint Vincent and the Grenadines,11094
,San Marino,29579.0
,Saudi Arabia,4465000.0
,Senegal,2604000.0
,Serbia,1099000.0
,Seychelles,33576.0
,Singapore,5183700.0
,Slovakia,423737.0
,Slovenia,314807.0
,Somalia,1100000.0
,South Africa,3435000.0
,Spain,5567000.0
,Sri Lanka,217000.0
,Sudan,4754000.0
,Suriname,254169.0
,Sweden,1264000.0
,Switzerland,1240000.0
,Taiwan*,23816775
,Tanzania,2930000.0
,Thailand,6704000.0
,Togo,1452000.0
,Trinidad and Tobago,1399488
,Tunisia,2412500.0
,Turkey,10061000.0
,Uganda,1420000.0
,Ukraine,2709000.0
,United Arab Emirates,1379000.0
Bermuda,United Kingdom,67886011
Cayman Islands,United Kingdom,67886011
Channel Islands,United Kingdom,67886011
Gibraltar,United Kingdom,67886011
Isle of Man,United Kingdom,67886011
Montserrat,United Kingdom,67886011
,United Kingdom,8567000.0
,Uruguay,1513000.0
,US,331002651
,Uzbekistan,2184000.0
,Venezuela,2985000.0
,Vietnam,5314000.0
,Zambia,1328000.0
,Zimbabwe,1572000.0
Diamond Princess,Canada,37742154
,Dominica,23336.0
,Grenada,33734.0
,Mozambique,1446000.0
,Syria,2738000.0
,Timor-Leste,234331.0
,Belize,15220.0
Recovered,Canada,37742154
,Laos,754000.0
,Libya,2189000.0
,West Bank and Gaza,128805.0
,Guinea-Bissau,403339.0
,Mali,1494000.0
,Saint Kitts and Nevis,21887.0
Northwest Territories,Canada,19234.0
Yukon,Canada,23276.0
,Kosovo,1831000
,Burma,4088000.0
Anguilla,United Kingdom,67886011
British Virgin Islands,United Kingdom,67886011
Turks and Caicos Islands,United Kingdom,67886011
,MS Zaandam,76804
,Botswana,208411.0
,Burundi,331700.0
,Sierra Leone,827000.0
Bonaire, Sint Eustatius and Saba,Netherlands,17134872
,Malawi,646750.0
Falkland Islands (Islas Malvinas),United Kingdom,67886011
